Date,Store,Product Category,Product,Units Sold,Unit Price,Revenue
08/02/2025,Store C,Phones,Google Pixel 7,4,800,3200
14/03/2025,Store B,Laptops,Dell XPS 13,1,1000,1000
13/03/2025,Store C,Accessories,Charger,2,20,40
12/03/2025,Store A,Accessories,Charger,8,20,160
03/03/2025,Store A,Phones,iPhone 14,12,900,10800
20/03/2025,Store B,Accessories,Charger,8,20,160
23/02/2025,Store B,Tablets,Galaxy Tab,4,550,2200
15/01/2025,Store C,Tablets,iPad Air,8,600,4800
29/03/2025,Store B,Phones,Google Pixel 7,1,800,800
12/03/2025,Store B,Phones,Google Pixel 7,4,800,3200
16/02/2025,Store B,Tablets,iPad Mini,8,500,4000
02/02/2025,Store A,Phones,Samsung S23,6,850,5100
15/03/2025,Store A,Phones,iPhone 14,5,900,4500
27/03/2025,Store A,Laptops,HP Spectre,5,1100,5500
12/02/2025,Store B,Laptops,MacBook Pro,15,2000,30000
30/03/2025,Store C,Accessories,Charger,10,20,200
22/01/2025,Store B,Accessories,Charger,14,20,280
07/01/2025,Store C,Phones,Samsung S23,4,850,3400
01/01/2025,Store B,Tablets,iPad Mini,8,500,4000
24/02/2025,Store B,Phones,Samsung S23,13,850,11050
31/01/2025,Store B,Accessories,Charger,1,20,20
01/01/2025,Store C,Accessories,Keyboard,1,30,30
12/03/2025,Store B,Accessories,Keyboard,14,30,420
03/03/2025,Store C,Tablets,Galaxy Tab,10,550,5500
21/03/2025,Store A,Tablets,Galaxy Tab,8,550,4400
25/03/2025,Store C,Tablets,iPad Air,10,600,6000
24/02/2025,Store B,Tablets,iPad Mini,10,500,5000
06/01/2025,Store C,Phones,iPhone 14,9,900,8100
30/01/2025,Store B,Accessories,Keyboard,12,30,360
15/03/2025,Store B,Tablets,iPad Mini,1,500,500
15/01/2025,Store A,Laptops,Dell XPS 13,2,1000,2000
13/01/2025,Store C,Laptops,Dell XPS 13,10,1000,10000
29/03/2025,Store B,Phones,Google Pixel 7,8,800,6400
28/01/2025,Store C,Tablets,iPad Air,8,600,4800
09/02/2025,Store A,Tablets,iPad Air,11,600,6600
02/02/2025,Store C,Phones,Google Pixel 7,13,800,10400
20/03/2025,Store B,Phones,Samsung S23,8,850,6800
03/03/2025,Store B,Accessories,Keyboard,15,30,450
23/02/2025,Store A,Tablets,Galaxy Tab,6,550,3300
22/01/2025,Store B,Accessories,Wireless Mouse,6,25,150
18/03/2025,Store C,Laptops,Dell XPS 13,6,1000,6000
17/02/2025,Store C,Tablets,iPad Air,14,600,8400
13/02/2025,Store C,Laptops,HP Spectre,9,1100,9900
17/01/2025,Store B,Accessories,Charger,7,20,140
26/03/2025,Store A,Tablets,Galaxy Tab,11,550,6050
19/02/2025,Store A,Accessories,Wireless Mouse,3,25,75
22/01/2025,Store C,Accessories,Charger,4,20,80
19/03/2025,Store A,Tablets,iPad Mini,13,500,6500
